Index,Value_1,Value_2,Value_3
8.31199851432e-05,148.60224,353.45415,338.91108
8.32928461432e-05,151.82745,352.58021,350.47045
8.34657071432e-05,145.16692,353.45085,344.92726
8.36385681432e-05,148.43065,350.69481,326.09759
8.38114291432e-05,142.80044,337.17539,305.75914
8.39842901432e-05,133.25903,331.17147,303.3047
8.41571511432e-05,130.28721,334.30844,307.91647
8.43300121432e-05,133.74551,333.68843,314.66672
8.45028731432e-05,123.60583,326.08867,290.94325
8.46757341432e-05,133.1734,331.48801,305.17156
8.48485951432e-05,135.83424,336.81424,312.95995
8.50214561432e-05,118.07667,334.32113,284.24915
8.51943171432e-05,125.36879,343.06955,300.71361
8.53671781432e-05,125.95475,349.12512,307.94306
8.55400391432e-05,108.47833,333.56834,283.17141
8.57129001432e-05,115.76629,334.09424,295.1021
8.58857611432e-05,115.14281,330.36271,296.23674
8.60586221432e-05,98.475604,323.20152,273.41612
8.62314831432e-05,148.86639,353.2979,299.88552
8.64043441432e-05,153.99303,344.63236,307.14812
8.65772051432e-05,154.4218,345.28803,316.70641
8.67500661432e-05,147.43301,343.15577,303.99618
8.69229271432e-05,155.11511,336.82688,310.55465
8.70957881432e-05,156.14782,340.86583,320.71811
8.72686491432e-05,160.6497,345.81964,329.63401
8.74415101432e-05,158.89032,332.20139,342.78465
8.76143711432e-05,151.15459,334.31123,336.84255
8.77872321432e-05,147.92396,333.93954,322.69034
8.79600931432e-05,150.33082,336.9971,325.08374
8.81329541432e-05,127.09957,326.70655,288.71889
8.83058151432e-05,122.12866,340.45966,300.4216
8.84786761432e-05,136.43314,337.90364,328.7372
8.86515371432e-05,142.0078,341.39854,341.12708
8.88243981432e-05,145.05338,341.34578,348.82818
8.89972591432e-05,135.5188,342.86509,339.84666
8.91701201432e-05,137.28484,343.01746,343.50394
8.93429811432e-05,147.16574,337.93151,321.70223
8.95158421432e-05,133.24961,335.6321,307.59453
8.96887031432e-05,134.77456,333.16032,283.53809
8.98615641432e-05,142.81605,344.99192,305.87731
9.00344251432e-05,142.45699,343.52364,311.31833
9.02072861432e-05,143.27548,337.8645,336.74825
9.03801471432e-05,136.10025,324.60044,323.91978
9.05530081432e-05,129.87468,317.78093,312.26609
9.07258691432e-05,137.12948,318.49389,320.0078
9.08987301432e-05,140.47141,324.83882,328.80892
9.10715911432e-05,124.17163,342.79589,329.98509
9.12444521432e-05,125.81816,338.62369,341.70058
9.14173131432e-05,122.8739,356.41207,361.41785
9.15901741432e-05,124.56395,341.18265,355.97677
9.17630351432e-05,107.33002,333.11065,351.51523
9.19358961432e-05,114.20822,336.04382,359.60765
9.21087571432e-05,113.16796,339.28692,366.1418
9.22816181432e-05,156.9787,348.22646,348.81412
9.24544791432e-05,166.88803,340.60812,383.85077
9.26273401432e-05,165.48825,341.20429,389.01387
9.28002011432e-05,169.87192,344.44714,397.91837
9.29730621432e-05,161.8919,346.27464,397.53354
9.31459231432e-05,159.44526,343.83923,380.73266
9.33187841432e-05,160.83339,347.34462,376.60313
9.34916451432e-05,166.3484,347.48188,364.82172
9.36645061432e-05,153.54567,347.80349,356.22399
9.38373671432e-05,137.75928,339.04096,327.5583
9.40102281432e-05,123.15681,339.47468,307.57276
9.41830891432e-05,127.06086,341.45349,339.06673
9.43559501432e-05,128.85536,329.96823,334.72863
9.45288111432e-05,125.16642,321.59116,342.54825
9.47016721432e-05,131.19028,326.53642,351.80332
9.48745331432e-05,118.40928,324.41304,342.68325
9.50473941432e-05,121.53115,328.25742,329.90741
9.52202551432e-05,162.985,354.15393,360.43486
9.53931161432e-05,162.51581,348.34954,367.44324
9.55659771432e-05,168.89606,343.40826,381.48627
9.57388381432e-05,168.05185,347.77437,382.42958
9.59116991432e-05,172.61611,348.17509,395.33577
9.60845601432e-05,166.07889,354.48864,375.26494
9.62574211432e-05,155.05051,347.16826,372.03895
9.64302821432e-05,142.77097,344.85622,335.57968
9.66031431432e-05,135.98392,338.63393,334.48116
